FIELD_NAME,DESCRIPTION,SHORT_DESC,GROUP,TYPE
ENVIRONMENT_POOR_HOUSING_WEIGHTED,Living Environment Poor Housing,Poor Housing,IMD Underlying Indicators,DBL
ENVIRONMENT_ENERGY_PERFORMANCE_WEIGHTED,Living Environment Energy Performance,Energy Performance,IMD Underlying Indicators,DBL
ENVIRONMENT_LACK_OF_OUTDOOR_SPACE_WEIGHTED,Living Environment Lack of Outdoor Space,Lack of Outdoor Space,IMD Underlying Indicators,DBL
ENVIRONMENT_NOISE_POLLUTION_WEIGHTED,Living Environment Noise Pollution,Noise Pollution,IMD Underlying Indicators,DBL
ENVIRONMENT_TRAFFIC_CASUALITIES_WEIGHTED,Living Environment Traffic Casualities,Traffic Casualities,IMD Underlying Indicators,DBL
ENVIRONMENT_SUPLHUR_DIOXIDE_WEIGHTED,Living Environment Sulphur Dioxide,Sulphur Dioxide,IMD Underlying Indicators,DBL
ENVIRONMENT_NITROGEN_DIOXIDE_WEIGHTED,Living Environment Nitrogen Dioxide,Nitrogen Dioxide,IMD Underlying Indicators,DBL
ENVIRONMENT_BENZENE_WEIGHTED,Living Environment Benzene,Benzene,IMD Underlying Indicators,DBL
ENVIRONMENT_PARTICULATES_WEIGHTED,Living Environment Particulates,Particulates,IMD Underlying Indicators,DBL
ENVIRONMENT_AIR_QUALITY_WEIGHTED,Living Environment Air Quality,Air Quality,IMD Underlying Indicators,DBL
LIST_SIZE,List Size,List Size,NHSE Payments,DBL
WEIGHTED_LIST_SIZE,Weight List Size,Weight List Size,NHSE Payments,DBL
TOTAL_PAYMENTS,Total Payments,Total Payments,NHSE Payments,CUR
MEAN_PAYMENTS,Mean Payments,Mean Payments,NHSE Payments,CUR
MEAN_WEIGHTED_PAYMENTS,Weighted Payments,Weighted Payments,NHSE Payments,CUR
QOF_PREV_AF,Atrial fibrillation prevalence,Atrial fibrillation prevalence,QOF Prevalence,PCT
QOF_PREV_AST,Asthma prevalence,Asthma prevalence,QOF Prevalence,PCT
QOF_PREV_CAN,Cancer prevalence,Cancer prevalence,QOF Prevalence,PCT
QOF_PREV_CHD,Coronary heart disease prevalence,Coronary heart disease prevalence,QOF Prevalence,PCT
QOF_PREV_CKD,Chronic kidney disease prevalence,Chronic kidney disease prevalence,QOF Prevalence,PCT
QOF_PREV_COPD,Chronic obstructive pulmonary disease prevalence,Chronic obstructive pulmonary disease prevalence,QOF Prevalence,PCT
QOF_PREV_DEM,Dementia prevalence,Dementia prevalence,QOF Prevalence,PCT
QOF_PREV_DEP,Depression prevalence,Depression prevalence,QOF Prevalence,PCT
QOF_PREV_DM,Diabetes mellitus prevalence,Diabetes mellitus prevalence,QOF Prevalence,PCT
QOF_PREV_EP,Epilepsy prevelance,Epilepsy prevelance,QOF Prevalence,PCT
QOF_PREV_HF,Heart failure prevalence,Heart failure prevalence,QOF Prevalence,PCT
QOF_PREV_HYP,Hypertension prevalence,Hypertension prevalence,QOF Prevalence,PCT
QOF_PREV_LD,Learning disability prevalence,Learning disability prevalence,QOF Prevalence,PCT
QOF_PREV_MH,Mental health prevelance,Mental health prevelance,QOF Prevalence,PCT
QOF_PREV_NDH,Non-diabetic hyperglycaemia,Non-diabetic hyperglycaemia,QOF Prevalence,PCT
QOF_PREV_OB,Obesity prevalence,Obesity prevalence,QOF Prevalence,PCT
QOF_PREV_OST,Osteoporosis prevalence,Osteoporosis prevalence,QOF Prevalence,PCT
QOF_PREV_PAD,Peripheral vasculare disease prevalence,Peripheral vasculare disease prevalence,QOF Prevalence,PCT
QOF_PREV_PC,Palliative care prevalence,Palliative care prevalence,QOF Prevalence,PCT
QOF_PREV_RA,Rheumatoid arthritis prevalence,Rheumatoid arthritis prevalence,QOF Prevalence,PCT
QOF_PREV_STIA,Stroke and transient ischaemic attack prevalence,Stroke and TIA prevalence,QOF Prevalence,PCT
PRACTICE_WORKFORCE_ADMIN,PCN Aggregate of Practice Workforce - Administrative FTE,Administrative FTE,Workforce,DBL
PRACTICE_WORKFORCE_DPC,PCN Aggregate of Practice Workforce - Direct Patient Care FTE,Direct Patient Care FTE,Workforce,DBL
PRACTICE_WORKFORCE_GP,PCN Aggregate of Practice Workforce - General Practitioners FTE,General Practitioners FTE,Workforce,DBL
PRACTICE_WORKFORCE_NURSE,PCN Aggregate of Practice Workforce - Nursing FTE,Nursing FTE,Workforce,DBL
PCN_WORKFORCE_ADMIN,PCN Workforce - Administrative FTE,PCN Administrative FTE,Workforce,DBL
PCN_WORKFORCE_DPC,PCN Workforce - Direct Patient Care FTE,PCN Direct Patient Care FTE,Workforce,DBL
PCN_WORKFORCE_GP,PCN Workforce - General Practitioners FTE,PCN General Practitioners FTE,Workforce,DBL
PCN_WORKFORCE_NURSE,PCN Workforce - Nursing FTE,PCN Nursing FTE,Workforce,DBL
